stna,lat,lon,elev,open,closed
Arlington,48.2016,-122.2262,33,2017-11-08,2020-12-07
Chimacum,48.0109,-122.7746,164,2015-04-16,2021-06-29
Coupeville,48.1995,-122.6876,79,2000-01-17,2021-06-29
Fir.Island,48.3565,-122.4219,0,2008-04-03,2020-12-06
Langley,48.0011,-122.4328,166,2014-12-17,2021-06-29
Lawrence,48.8837,-122.3214,148,2008-04-28,2021-06-29
Lynden,48.9356,-122.5141,68,2002-05-15,2021-04-14
Mt.Vernon,48.4385,-122.3857,23,1993-11-01,2021-01-20
Nooksack,48.9668,-122.3076,82,2002-05-14,2021-06-29
Sakuma,48.4974,-122.3785,28,2006-06-29,2021-06-29
Sequim,48.0867,-123.059,100,2008-11-05,2021-06-29
Snohomish,47.9027,-122.1147,0,2006-06-19,2021-06-29
Ten Mile,48.8661,-122.4762,67,2008-04-04,2021-06-29
Woodinvill,47.7484,-122.1542,47,2008-07-23,2021-06-29
